file_name,vulnerability,model
gpt35-20532.c,0,gpt35
codellama_13b-7109.c,0,codellama_13b
gemma7b-26458.c,0,gemma7b
gpt35-44934.c,0,gpt35
mistral_7b-7367.c,1,mistral_7b
gpt4o_mini-2918.c,0,gpt4o_mini
falcon2-11B-6494.c,1,falcon2
gpt35-22350.c,1,gpt35
gpt4o_mini-8493.c,0,gpt4o_mini
gemini_pro-16455.c,1,gemini_pro
gemini_pro-37941.c,1,gemini_pro
gemma7b-28725.c,1,gemma7b
gpt4o_mini-28574.c,0,gpt4o_mini
falcon2-11B-8686.c,0,falcon2
falcon2-11B-4153.c,1,falcon2
codellama_13b-10329.c,0,codellama_13b
gemma7b-20022.c,0,gemma7b
falcon180b-5921.c,1,falcon180b
codellama_13b-869.c,1,codellama_13b
falcon2-11B-6293.c,1,falcon2
llama2-13B-940.c,0,llama2
falcon180b-61482.c,0,falcon180b
llama2-13B-2959.c,1,llama2
llama2-13B-5709.c,0,llama2
llama2-13B-1849.c,1,llama2
llama2-13B-3251.c,1,llama2
gpt4o_mini-23740.c,0,gpt4o_mini
mistral_7b-970.c,1,mistral_7b
falcon2-11B-912.c,1,falcon2
gemini_pro-25727.c,1,gemini_pro
falcon180b-14970.c,0,falcon180b
llama2-13B-10038.c,1,llama2
gpt4o_mini-9595.c,0,gpt4o_mini
gemini_pro-32659.c,0,gemini_pro
falcon2-11B-4529.c,1,falcon2
gemini_pro-35700.c,1,gemini_pro
llama2-13B-5152.c,0,llama2
falcon180b-28051.c,1,falcon180b
mistral_7b-2528.c,0,mistral_7b
gpt4o_mini-27055.c,0,gpt4o_mini
gemma7b-41120.c,1,gemma7b
falcon2-11B-4008.c,1,falcon2
llama2-13B-7779.c,0,llama2
falcon2-11B-4778.c,0,falcon2
gemini_pro-17687.c,1,gemini_pro
falcon180b-8346.c,1,falcon180b
gpt35-39096.c,1,gpt35
gpt35-53386.c,1,gpt35
gemini_pro-27109.c,1,gemini_pro
mistral_7b-4223.c,0,mistral_7b
mistral_7b-8125.c,0,mistral_7b
codellama_13b-11969.c,0,codellama_13b
mistral_7b-9150.c,0,mistral_7b
mistral_7b-4542.c,0,mistral_7b
codellama_13b-7590.c,1,codellama_13b
gpt4o_mini-16387.c,1,gpt4o_mini
mistral_7b-9340.c,0,mistral_7b
gemini_pro-31100.c,1,gemini_pro
mistral_7b-4172.c,0,mistral_7b
gpt35-31357.c,1,gpt35
gpt35-6194.c,1,gpt35
falcon180b-11530.c,0,falcon180b
falcon180b-62073.c,1,falcon180b
falcon180b-1653.c,1,falcon180b
codellama_13b-8872.c,1,codellama_13b
gpt35-42387.c,1,gpt35
gpt35-14453.c,0,gpt35
falcon2-11B-5974.c,0,falcon2
gemini_pro-23545.c,1,gemini_pro
falcon180b-18722.c,1,falcon180b
gemini_pro-2298.c,1,gemini_pro
gemma7b-22325.c,0,gemma7b
gemma7b-5369.c,1,gemma7b
codellama_13b-10236.c,0,codellama_13b
codellama_13b-419.c,0,codellama_13b
gpt35-71318.c,1,gpt35
gemma7b-29804.c,0,gemma7b
falcon180b-10752.c,0,falcon180b
falcon180b-18309.c,1,falcon180b
falcon180b-47114.c,0,falcon180b
gpt35-42497.c,1,gpt35
falcon2-11B-6407.c,0,falcon2
gemini_pro-25230.c,0,gemini_pro
gemma7b-7384.c,1,gemma7b
llama2-13B-3004.c,0,llama2
codellama_13b-179.c,0,codellama_13b
gemma7b-26053.c,1,gemma7b
mistral_7b-4121.c,0,mistral_7b
codellama_13b-3650.c,0,codellama_13b
falcon180b-30315.c,1,falcon180b
mistral_7b-7287.c,1,mistral_7b
codellama_13b-8543.c,0,codellama_13b
gemma7b-4909.c,0,gemma7b
gpt35-41739.c,1,gpt35
gpt4o_mini-25952.c,0,gpt4o_mini
codellama_13b-236.c,1,codellama_13b
falcon2-11B-9489.c,1,falcon2
falcon2-11B-662.c,0,falcon2
mistral_7b-6189.c,1,mistral_7b
llama2-13B-14715.c,1,llama2
codellama_13b-6380.c,1,codellama_13b
gemma7b-27783.c,0,gemma7b
gemini_pro-4655.c,1,gemini_pro
falcon2-11B-9486.c,0,falcon2
gemma7b-39542.c,0,gemma7b
gpt35-36741.c,1,gpt35
codellama_13b-4954.c,0,codellama_13b
mistral_7b-6878.c,0,mistral_7b
falcon180b-53698.c,1,falcon180b
falcon180b-14335.c,1,falcon180b
falcon180b-67367.c,0,falcon180b
codellama_13b-3092.c,0,codellama_13b
falcon2-11B-8883.c,1,falcon2
mistral_7b-1718.c,0,mistral_7b
falcon180b-24935.c,1,falcon180b
gpt35-49069.c,1,gpt35
gpt4o_mini-36758.c,1,gpt4o_mini
falcon2-11B-4393.c,1,falcon2
gemini_pro-15395.c,1,gemini_pro
falcon2-11B-2985.c,0,falcon2
gemini_pro-22699.c,1,gemini_pro
gpt4o_mini-29187.c,1,gpt4o_mini
gpt35-70953.c,0,gpt35
codellama_13b-1001.c,1,codellama_13b
gemma7b-41306.c,1,gemma7b
gpt35-30322.c,0,gpt35
codellama_13b-2662.c,0,codellama_13b
gpt35-10736.c,1,gpt35
falcon180b-61186.c,0,falcon180b
gpt4o_mini-22711.c,1,gpt4o_mini
llama2-13B-18735.c,0,llama2
gemini_pro-6035.c,0,gemini_pro
gpt4o_mini-21325.c,1,gpt4o_mini
falcon2-11B-9333.c,1,falcon2
gemma7b-10043.c,0,gemma7b
gemini_pro-10642.c,1,gemini_pro
gpt35-38710.c,1,gpt35
llama2-13B-8927.c,0,llama2
gemma7b-11490.c,1,gemma7b
falcon180b-41523.c,0,falcon180b
codellama_13b-11594.c,0,codellama_13b
gpt35-74910.c,0,gpt35
gpt35-6727.c,1,gpt35
gpt35-66406.c,0,gpt35
codellama_13b-842.c,1,codellama_13b
falcon2-11B-2598.c,1,falcon2
gpt35-36954.c,0,gpt35
gemma7b-4467.c,0,gemma7b
mistral_7b-9158.c,1,mistral_7b
falcon2-11B-2512.c,1,falcon2
gemma7b-28365.c,0,gemma7b
gemma7b-2703.c,0,gemma7b
gpt35-8154.c,0,gpt35
gemini_pro-38784.c,1,gemini_pro
gemma7b-13303.c,0,gemma7b
llama2-13B-19255.c,1,llama2
gemma7b-29458.c,1,gemma7b
gpt35-71873.c,1,gpt35
gemini_pro-30081.c,1,gemini_pro
gpt35-77054.c,1,gpt35
codellama_13b-11302.c,1,codellama_13b
gpt35-36911.c,1,gpt35
mistral_7b-5719.c,0,mistral_7b
mistral_7b-1843.c,1,mistral_7b
llama2-13B-18872.c,1,llama2
mistral_7b-4747.c,0,mistral_7b
gpt4o_mini-27483.c,1,gpt4o_mini
codellama_13b-607.c,1,codellama_13b
gpt4o_mini-39010.c,1,gpt4o_mini
falcon180b-49291.c,0,falcon180b
gemini_pro-667.c,0,gemini_pro
mistral_7b-1678.c,0,mistral_7b
codellama_13b-5301.c,0,codellama_13b
falcon180b-16717.c,1,falcon180b
falcon180b-3885.c,1,falcon180b
falcon180b-9083.c,0,falcon180b
gpt4o_mini-36450.c,0,gpt4o_mini
gpt35-46033.c,0,gpt35
codellama_13b-126.c,1,codellama_13b
gemini_pro-26564.c,0,gemini_pro
mistral_7b-3924.c,1,mistral_7b
falcon180b-8337.c,0,falcon180b
gpt4o_mini-660.c,0,gpt4o_mini
falcon180b-32612.c,0,falcon180b
gpt35-797.c,0,gpt35
gemini_pro-27128.c,1,gemini_pro
gemma7b-35562.c,1,gemma7b
falcon180b-67688.c,1,falcon180b
falcon2-11B-11798.c,1,falcon2
falcon2-11B-6030.c,1,falcon2
mistral_7b-1100.c,1,mistral_7b
gemma7b-4498.c,0,gemma7b
mistral_7b-3580.c,1,mistral_7b
gpt4o_mini-21.c,0,gpt4o_mini
gemini_pro-34386.c,0,gemini_pro
gemma7b-40498.c,0,gemma7b
llama2-13B-6919.c,0,llama2
falcon180b-4539.c,1,falcon180b
mistral_7b-5605.c,0,mistral_7b
gpt35-49223.c,0,gpt35
gpt35-28034.c,0,gpt35
gpt35-7661.c,1,gpt35
